国家,FIFA排名,大洲,FIFA评级,FIFA系数,组别,全队身价_万欧
法国,1,UEFA,顶级,1.05,I,136100
西班牙,2,UEFA,顶级,1.05,H,127800
阿根廷,3,CONMEBOL,顶级,1.05,J,86900
英格兰,4,UEFA,顶级,1.05,L,123500
葡萄牙,5,UEFA,顶级,1.05,K,115800
巴西,6,CONMEBOL,顶级,1.05,C,90870
荷兰,7,UEFA,顶级,1.05,F,84400
摩洛哥,8,CAF,顶级,1.05,C,48750
比利时,9,UEFA,顶级,1.05,G,49985
德国,10,UEFA,顶级,1.05,E,94675
克罗地亚,11,UEFA,强队,1.03,L,35580
哥伦比亚,13,CONMEBOL,强队,1.03,K,31750
塞内加尔,14,CAF,强队,1.03,I,43500
墨西哥,15,CONCACAF,强队,1.03,A,18275
美国,16,CONCACAF,强队,1.03,D,33582
乌拉圭,17,CONMEBOL,强队,1.03,H,38973
日本,18,AFC,强队,1.03,F,26290
瑞士,19,UEFA,强队,1.03,B,31760
伊朗,21,AFC,中上,1.0,G,3185
土耳其,22,UEFA,中上,1.0,D,42270
厄瓜多尔,23,CONMEBOL,中上,1.0,E,36615
奥地利,24,UEFA,中上,1.0,J,25990
韩国,25,AFC,中上,1.0,A,13800
澳大利亚,27,AFC,中上,1.0,D,8165
阿尔及利亚,28,CAF,中上,1.0,J,28730
埃及,29,CAF,中上,1.0,G,13952
加拿大,30,CONCACAF,中上,1.0,B,20405
挪威,31,UEFA,中游,0.97,I,60060
巴拿马,33,CONCACAF,中游,0.97,L,3997
科特迪瓦,34,CAF,中游,0.97,E,51490
瑞典,38,UEFA,中游,0.97,F,44200
巴拉圭,40,CONMEBOL,中游,0.97,D,16150
捷克,41,UEFA,中游,0.97,A,18200
苏格兰,43,UEFA,中游,0.97,C,20370
突尼斯,44,CAF,中游,0.97,F,6755
民主刚果,46,CAF,中游,0.97,K,16550
乌兹别克斯坦,50,AFC,中游,0.97,K,8005
卡塔尔,55,AFC,中下,0.94,B,1992
伊拉克,57,AFC,中下,0.94,I,2097
南非,60,CAF,中下,0.94,A,4895
沙特阿拉伯,61,AFC,中下,0.94,H组,3540
约旦,63,AFC,中下,0.94,J,1997
波黑,65,UEFA,中下,0.94,B,11080
佛得角,69,CAF,中下,0.94,H,5762
加纳,74,CAF,弱旅,0.9,L,22317
库拉索,82,CONCACAF,弱旅,0.9,E,2867
海地,83,CONCACAF,弱旅,0.9,C,5830
新西兰,85,OFC,弱旅,0.9,G,3069
